Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,code
2000-04-30,2.95,1.79,1.65,1.1752988047809,-34.340848894923,,,,,,BIGMAC_BRA
2001-04-30,3.6,2.19,1.64,1.4173228346457,-35.282062344947,,,,,,BIGMAC_BRA
2002-04-30,3.6,2.34,1.55,1.4457831325301,-38.214396045721,,,,,,BIGMAC_BRA
2003-04-30,4.55,3.07,1.44,1.6789667896679,-45.310528023847,,,,,,BIGMAC_BRA
2004-05-31,5.4,3.18,1.7,1.8620689655172,-41.444372153546,,,,,,BIGMAC_BRA
2005-06-30,5.9,2.4648,2.3937033430704,1.9281045751634,-21.774400553254,,,,,,BIGMAC_BRA
2006-01-31,6.2,2.2615,2.7415432235242,1.968253968254,-12.966881792882,,,,,,BIGMAC_BRA
2006-05-31,6.4,2.3045,2.7771750922109,2.0645161290323,-10.413706702874,,,,,,BIGMAC_BRA
2007-01-31,6.4,2.1335,2.9997656433091,1.9875776397516,-6.8395762947479,,,,,,BIGMAC_BRA
2007-06-30,6.9,1.913,3.6069001568217,2.0234604105572,5.7741981472653,,,,,,BIGMAC_BRA
2008-06-30,7.5,1.5846,4.7330556607346,2.1008403361345,32.578589936543,,,,,,BIGMAC_BRA
2009-07-31,8.03,1.9971,4.0208302037955,2.249299719888,12.628297025084,,,,,,BIGMAC_BRA
2010-01-31,8.2,1.7233,4.7583125398944,2.2905027932961,32.913758097609,,,,,,BIGMAC_BRA
2010-07-31,8.71,1.77495,4.9071804839573,2.3330357142857,31.442334391713,,,,,,BIGMAC_BRA
2011-07-31,9.5,1.5416,6.1624286455631,2.3370233702337,51.597260653458,148.51581523829,82.319682760802,128.59492688889,135.58429848024,140.52350978135,BIGMAC_BRA
2012-01-31,10.25,1.805,5.6786703601108,2.4420926232125,35.295990205679,109.57406395457,78.585472180993,105.1025538216,102.26877000406,110.32218537486,BIGMAC_BRA
2012-07-31,10.08,2.04215,4.9359743407683,2.3292894280763,14.06064334531,72.455516115806,55.295741796464,60.711348781152,74.863899529555,83.290663642341,BIGMAC_BRA
2013-01-31,11.25,1.99335,5.6437655203552,2.5759057409307,29.224960038662,89.815124280721,57.442566745578,78.462104748046,130.70599881029,98.075590212276,BIGMAC_BRA
2013-07-31,12.0,2.27065,5.2848303349261,2.6335040234089,15.980182917179,70.897037881231,54.751492513239,77.040209799147,138.19130207179,82.710479004265,BIGMAC_BRA
2014-01-31,12.4,2.36305,5.2474556187977,2.6815642458101,13.478946522928,72.651899240943,48.19247074805,56.717903380519,162.10735498572,70.598425429104,BIGMAC_BRA
2014-07-31,13.0,2.22025,5.8551964868821,2.711157455683,22.110458537687,86.844601129138,57.803619342239,62.017204098383,134.89237866788,99.595714834288,BIGMAC_BRA
2015-01-31,13.5,2.59275,5.2068267283772,2.8183716075157,8.70201938157,68.455481719373,66.202370955348,63.370459872898,125.17167057604,77.623149383053,BIGMAC_BRA
2015-07-31,13.5,3.15235,4.2825193902961,2.8183716075157,-10.594584753734,35.074616351097,41.315664858544,33.298404334336,85.591243990965,48.955110812863,BIGMAC_BRA
2016-01-31,13.5,4.0248,3.3542039355993,2.7383367139959,-31.963409014213,7.1096249924008,15.873400337805,15.863543936496,43.132737383286,18.275336405158,BIGMAC_BRA
